ordtype;uid;is_buy;qty;price;timestamp
new;298;False;250;96.1;2019-05-23 09:12:07.822
cancel;250;;63;;2019-05-23 09:12:07.843
cancel;279;;44;;2019-05-23 09:12:07.855
cancel;246;;205;;2019-05-23 09:12:07.965
cancel;255;;22;;2019-05-23 09:12:08.145
new;299;True;43;95.55;2019-05-23 09:12:08.400
new;300;True;210;95.45;2019-05-23 09:12:08.759
new;301;False;42;95.9;2019-05-23 09:12:08.861
new;302;False;213;96.0;2019-05-23 09:12:09.321
new;303;False;63;95.95;2019-05-23 09:12:10.038
new;304;True;63;95.5;2019-05-23 09:12:10.038
cancel;296;;57;;2019-05-23 09:12:20.070
new;305;True;19;95.5;2019-05-23 09:12:20.070
cancel;295;;1120;;2019-05-23 09:12:28.375
new;306;True;34;95.7;2019-05-23 09:12:28.375
cancel;294;;34;;2019-05-23 09:12:28.375
cancel;299;;43;;2019-05-23 09:12:28.400
new;307;True;44;95.6;2019-05-23 09:12:29.561
cancel;297;;11;;2019-05-23 09:12:32.567
new;308;False;34;96.3;2019-05-23 09:12:32.567
new;309;True;19;95.7;2019-05-23 09:12:32.568
cancel;303;;63;;2019-05-23 09:12:32.590
new;310;False;63;96.0;2019-05-23 09:12:32.590
cancel;301;;42;;2019-05-23 09:12:32.596
new;311;False;43;96.05;2019-05-23 09:12:33.700
cancel;178;;12;;2019-05-23 09:12:45.551
cancel;256;;100;;2019-05-23 09:12:57.184
new;312;False;100;95.85;2019-05-23 09:12:57.184
new;313;False;31;95.85;2019-05-23 09:13:03.214
cancel;306;;34;;2019-05-23 09:13:03.217
cancel;309;;19;;2019-05-23 09:13:03.217
new;314;True;1120;95.2;2019-05-23 09:13:03.217
cancel;308;;34;;2019-05-23 09:13:03.218
new;315;False;31;95.8;2019-05-23 09:13:03.218
new;316;False;18;95.85;2019-05-23 09:13:03.218
new;317;False;11;95.8;2019-05-23 09:13:03.219
cancel;307;;44;;2019-05-23 09:13:03.244
cancel;311;;43;;2019-05-23 09:13:03.244
new;318;True;44;95.55;2019-05-23 09:13:04.521
new;319;False;44;95.9;2019-05-23 09:13:04.521
cancel;315;;31;;2019-05-23 09:13:17.406
new;320;False;31;95.8;2019-05-23 09:13:28.410
cancel;320;;31;;2019-05-23 09:13:32.804
cancel;312;;100;;2019-05-23 09:13:36.618
new;321;False;100;95.8;2019-05-23 09:13:36.618
cancel;229;;17;;2019-05-23 09:13:36.619
new;322;False;32;95.8;2019-05-23 09:13:48.345
cancel;322;;32;;2019-05-23 09:13:58.234
cancel;321;;100;;2019-05-23 09:14:11.022
new;323;False;34;95.85;2019-05-23 09:14:26.046
new;324;True;78;95.65;2019-05-23 09:14:57.207
new;325;True;15;95.65;2019-05-23 09:14:57.208
cancel;317;;11;;2019-05-23 09:14:57.208
new;326;False;34;96.3;2019-05-23 09:14:57.208
new;327;True;11;95.65;2019-05-23 09:14:57.209
cancel;319;;44;;2019-05-23 09:14:57.257
cancel;314;;1120;;2019-05-23 09:14:57.750
new;328;True;33;95.7;2019-05-23 09:14:57.750
cancel;316;;18;;2019-05-23 09:14:57.751
cancel;324;;78;;2019-05-23 09:14:57.756
new;329;True;78;95.7;2019-05-23 09:14:57.756
cancel;318;;44;;2019-05-23 09:14:57.776
new;330;False;47;96.05;2019-05-23 09:14:58.600
new;331;True;48;95.6;2019-05-23 09:14:59.060
cancel;313;;31;;2019-05-23 09:15:00.256
new;332;True;11;95.7;2019-05-23 09:15:00.257
cancel;274;;11;;2019-05-23 09:15:00.257
new;333;False;33;95.85;2019-05-23 09:15:00.279
cancel;332;;11;;2019-05-23 09:15:00.280
cancel;333;;33;;2019-05-23 09:15:01.102
new;334;True;11;95.7;2019-05-23 09:15:01.104
new;335;True;70;95.65;2019-05-23 09:15:01.105
new;336;False;70;95.9;2019-05-23 09:15:01.105
cancel;330;;47;;2019-05-23 09:15:01.252
cancel;329;;78;;2019-05-23 09:15:01.330
cancel;290;;34;;2019-05-23 09:15:01.330
new;337;True;68;95.75;2019-05-23 09:15:01.330
cancel;304;;63;;2019-05-23 09:15:01.354
new;338;True;63;95.6;2019-05-23 09:15:01.354
cancel;331;;48;;2019-05-23 09:15:01.355
new;339;True;15;95.7;2019-05-23 09:15:01.505
new;340;True;47;95.75;2019-05-23 09:15:01.668
cancel;241;;250;;2019-05-23 09:15:01.696
new;341;True;33;95.75;2019-05-23 09:15:01.696
cancel;288;;34;;2019-05-23 09:15:01.716
cancel;336;;70;;2019-05-23 09:15:01.718
cancel;327;;11;;2019-05-23 09:15:02.019
cancel;300;;210;;2019-05-23 09:15:02.044
cancel;293;;19;;2019-05-23 09:15:02.209
new;342;False;46;95.95;2019-05-23 09:15:02.305
new;343;False;70;95.95;2019-05-23 09:15:02.305
new;344;True;48;95.65;2019-05-23 09:15:02.787
new;345;True;206;95.55;2019-05-23 09:15:02.826
new;346;False;33;95.9;2019-05-23 09:15:02.885
cancel;346;;33;;2019-05-23 09:15:04.142
